Month,Day,Year,Hour,UCDdemand_kW
1,20,2023,5,21800
1,20,2023,6,22202
1,20,2023,7,24670
1,20,2023,8,25839
1,20,2023,9,26295
1,20,2023,10,26498
1,20,2023,11,25907
1,20,2023,12,25954
1,20,2023,13,25587
1,20,2023,14,25104
1,20,2023,15,24317
1,20,2023,16,23476
1,20,2023,17,24272
1,20,2023,18,23782
1,20,2023,19,22854
1,20,2023,20,22118
1,20,2023,21,21110
1,20,2023,22,20599
1,20,2023,23,20152
1,21,2023,0,19656
1,21,2023,1,19480
1,21,2023,2,19288
1,21,2023,3,19233
1,21,2023,4,19394
1,21,2023,5,20179
1,21,2023,6,20866
1,21,2023,7,21690
1,21,2023,8,21486
1,21,2023,9,21349
1,21,2023,10,20991
1,21,2023,11,20740
1,21,2023,12,20658
1,21,2023,13,20726
1,21,2023,14,20768
1,21,2023,15,20845
1,21,2023,16,21121
1,21,2023,17,21824
1,21,2023,18,21494
1,21,2023,19,21142
1,21,2023,20,20774
1,21,2023,21,19926
1,21,2023,22,19190
1,21,2023,23,19095
1,22,2023,0,18744
1,22,2023,1,18888
1,22,2023,2,18712
1,22,2023,3,18756
1,22,2023,4,19186
1,22,2023,5,19507
1,22,2023,6,20386
1,22,2023,7,20936
1,22,2023,8,20830
1,22,2023,9,20638
1,22,2023,10,20603
1,22,2023,11,20518
1,22,2023,12,20590
1,22,2023,13,20728
1,22,2023,14,20748
1,22,2023,15,22998
1,22,2023,16,23620
1,22,2023,17,24530
1,22,2023,18,24440
1,22,2023,19,23896
1,22,2023,20,23192
1,22,2023,21,23000
1,22,2023,22,22216
1,22,2023,23,22072
1,23,2023,0,21816
1,23,2023,1,21480
1,23,2023,2,21496
1,23,2023,3,21217
1,23,2023,4,21234
1,23,2023,5,22370
1,23,2023,6,23602
1,23,2023,7,24938
1,23,2023,8,25570
1,23,2023,9,26045
1,23,2023,10,26350
1,23,2023,11,26276
1,23,2023,12,26139
1,23,2023,13,26042
1,23,2023,14,25878
1,23,2023,15,25557
1,23,2023,16,25044
1,23,2023,17,25193
1,23,2023,18,24950
1,23,2023,19,23190
1,23,2023,20,22262
1,23,2023,21,21670
1,23,2023,22,20599
1,23,2023,23,20248
1,24,2023,0,19368
1,24,2023,1,19240
1,24,2023,2,19080
1,24,2023,3,19139
1,24,2023,4,19651
1,24,2023,5,20978
1,24,2023,6,23507
1,24,2023,7,25110
1,24,2023,8,25675
1,24,2023,9,26144
1,24,2023,10,26527
1,24,2023,11,26306
1,24,2023,12,25873
1,24,2023,13,25977
1,24,2023,14,25904
1,24,2023,15,25516
1,24,2023,16,24469
1,24,2023,17,24412
1,24,2023,18,24101
1,24,2023,19,23109
1,24,2023,20,22373
1,24,2023,21,21573
1,24,2023,22,20741
1,24,2023,23,20294
1,25,2023,0,19351
1,25,2023,1,18840
1,25,2023,2,18792
1,25,2023,3,18997
1,25,2023,4,19606
