Hours since 00:00 Jan 1,Lifetime Hourly Data: Electricity to grid (kW),Lifetime Hourly Data: Electricity to grid (kW)
775.5,25.7214,25.7214
776.5,15539.7,15539.7
777.5,6351.2,6351.2
778.5,4545.48,4545.48
779.5,4327.97,4327.97
780.5,13639.7,13639.7
781.5,17872.5,17872.5
782.5,31120.6,31120.6
783.5,18430.6,18430.6
784.5,3750.44,3750.44
785.5,0,0
786.5,0,0
787.5,0,0
788.5,0,0
789.5,0,0
790.5,0,0
791.5,0,0
792.5,0,0
793.5,0,0
794.5,0,0
795.5,0,0
796.5,0,0
797.5,0,0
798.5,0,0
799.5,814.843,814.843
800.5,17278.8,17278.8
801.5,1381.02,1381.02
802.5,16233.2,16233.2
803.5,19401.3,19401.3
804.5,17398.5,17398.5
805.5,14162.7,14162.7
806.5,19908.5,19908.5
807.5,16747.4,16747.4
808.5,20324.7,20324.7
809.5,0,0
810.5,0,0
811.5,0,0
812.5,0,0
813.5,0,0
814.5,0,0
815.5,0,0
816.5,0,0
817.5,0,0
818.5,0,0
819.5,0,0
820.5,0,0
821.5,0,0
822.5,0,0
823.5,5608.54,5608.54
824.5,27339.8,27339.8
825.5,13378.2,13378.2
826.5,8404.86,8404.86
827.5,6288.88,6288.88
828.5,13032.3,13032.3
829.5,8095.18,8095.18
830.5,32754.4,32754.4
831.5,12909.3,12909.3
832.5,10750.5,10750.5
833.5,0,0
834.5,0,0
835.5,0,0
836.5,0,0
837.5,0,0
838.5,0,0
839.5,0,0
840.5,0,0
841.5,0,0
842.5,0,0
843.5,0,0
844.5,0,0
845.5,0,0
846.5,0,0
847.5,447.895,447.895
848.5,28067.7,28067.7
849.5,34002.6,34002.6
850.5,32680.2,32680.2
851.5,29505.8,29505.8
852.5,27515.5,27515.5
853.5,31642.2,31642.2
854.5,33716.7,33716.7
855.5,32654.8,32654.8
856.5,25040.4,25040.4
857.5,1876.44,1876.44
858.5,0,0
859.5,0,0
860.5,0,0
861.5,0,0
862.5,0,0
863.5,0,0
864.5,0,0
865.5,0,0
866.5,0,0
867.5,0,0
868.5,0,0
869.5,0,0
870.5,0,0
871.5,6923.9,6923.9
872.5,27917,27917
873.5,32762.6,32762.6
874.5,32152.6,32152.6
875.5,30142.3,30142.3
876.5,29267.5,29267.5
877.5,30833.9,30833.9
878.5,33188,33188
879.5,32177.6,32177.6
880.5,24917,24917
881.5,1935.05,1935.05
882.5,0,0
883.5,0,0
884.5,0,0
885.5,0,0
886.5,0,0
887.5,0,0
888.5,0,0
889.5,0,0
890.5,0,0
891.5,0,0
892.5,0,0
893.5,0,0
894.5,0,0
895.5,3182.02,3182.02
896.5,14056.8,14056.8
897.5,32824,32824
898.5,31482,31482
899.5,26810.1,26810.1
900.5,25442.1,25442.1
901.5,16179.9,16179.9
902.5,18205.3,18205.3
903.5,31404,31404
904.5,25203.5,25203.5
905.5,422.592,422.592
906.5,0,0
907.5,0,0
908.5,0,0
909.5,0,0
910.5,0,0
911.5,0,0
912.5,0,0
913.5,0,0
914.5,0,0
915.5,0,0
916.5,0,0
917.5,0,0
918.5,0,0
919.5,894.309,894.309
920.5,21806.2,21806.2
921.5,16834.7,16834.7
922.5,15987.4,15987.4
923.5,23248.7,23248.7
924.5,19089,19089
925.5,12826.9,12826.9
926.5,3208.59,3208.59
927.5,1576.55,1576.55
928.5,1148.34,1148.34
929.5,0,0
930.5,0,0
931.5,0,0
932.5,0,0
933.5,0,0
934.5,0,0
935.5,0,0
936.5,0,0
937.5,0,0
938.5,0,0
939.5,0,0
940.5,0,0
941.5,0,0
942.5,0,0
943.5,6920.21,6920.21
944.5,19566.5,19566.5
945.5,9526.97,9526.97
946.5,8920.85,8920.85
947.5,11459.5,11459.5
948.5,7225.42,7225.42
949.5,3945.91,3945.91
950.5,7648.29,7648.29
951.5,6397.71,6397.71
952.5,7678.43,7678.43
953.5,0,0
954.5,0,0
955.5,0,0
956.5,0,0
957.5,0,0
958.5,0,0
959.5,0,0
960.5,0,0
961.5,0,0
962.5,0,0
963.5,0,0
964.5,0,0
965.5,0,0
966.5,0,0
967.5,8662.55,8662.55
968.5,28072.9,28072.9
969.5,33496.9,33496.9
970.5,33775.9,33775.9
971.5,31444.6,31444.6
972.5,19090.4,19090.4
973.5,13406.6,13406.6
974.5,24890.1,24890.1
975.5,32791.7,32791.7
976.5,25732.4,25732.4
977.5,2511.43,2511.43
978.5,0,0
979.5,0,0
980.5,0,0
981.5,0,0
982.5,0,0
983.5,0,0
984.5,0,0
985.5,0,0
986.5,0,0
987.5,0,0
988.5,0,0
989.5,0,0
990.5,0,0
991.5,9706.49,9706.49
992.5,28362.6,28362.6
993.5,33566.2,33566.2
994.5,33227.1,33227.1
995.5,31183.6,31183.6
996.5,28691.4,28691.4
997.5,29297.7,29297.7
998.5,17223.5,17223.5
999.5,6896.68,6896.68
1000.5,11273.5,11273.5
1001.5,1107.6,1107.6
1002.5,0,0
1003.5,0,0
1004.5,0,0
1005.5,0,0
1006.5,0,0
1007.5,0,0
1008.5,0,0
1009.5,0,0
1010.5,0,0
1011.5,0,0
1012.5,0,0
1013.5,0,0
1014.5,0,0
1015.5,684.954,684.954
1016.5,9428.84,9428.84
1017.5,3398.47,3398.47
1018.5,5820.87,5820.87
1019.5,6188.43,6188.43
1020.5,7097.77,7097.77
1021.5,7069.29,7069.29
1022.5,5399.96,5399.96
1023.5,2804.28,2804.28
1024.5,1267.13,1267.13
1025.5,0,0
1026.5,0,0
1027.5,0,0
1028.5,0,0
1029.5,0,0
1030.5,0,0
1031.5,0,0
1032.5,0,0
1033.5,0,0
1034.5,0,0
1035.5,0,0
1036.5,0,0
1037.5,0,0
1038.5,0,0
1039.5,150.206,150.206
1040.5,3931.86,3931.86
1041.5,3723.38,3723.38
1042.5,8853.84,8853.84
1043.5,2558.65,2558.65
1044.5,7804.34,7804.34
1045.5,1628.56,1628.56
1046.5,835.065,835.065
1047.5,2665.8,2665.8
1048.5,5463.76,5463.76
1049.5,1156.97,1156.97
1050.5,0,0
1051.5,0,0
1052.5,0,0
1053.5,0,0
1054.5,0,0
1055.5,0,0
1056.5,0,0
1057.5,0,0
1058.5,0,0
1059.5,0,0
1060.5,0,0
1061.5,0,0
1062.5,0,0
1063.5,11516.4,11516.4
1064.5,6766.94,6766.94
1065.5,34224.5,34224.5
1066.5,16882.6,16882.6
1067.5,4729.69,4729.69
1068.5,9565.32,9565.32
1069.5,29680.8,29680.8
1070.5,31511.7,31511.7
1071.5,22536.6,22536.6
1072.5,27277.4,27277.4
1073.5,3138.24,3138.24
1074.5,0,0
1075.5,0,0
1076.5,0,0
1077.5,0,0
1078.5,0,0
1079.5,0,0
1080.5,0,0
1081.5,0,0
1082.5,0,0
1083.5,0,0
1084.5,0,0
1085.5,0,0
1086.5,0,0
