Hours since 00:00 Jan 1,Lifetime Hourly Data: Electricity from grid to system (kW),Lifetime Hourly Data: Electricity from grid to system (kW),Lifetime Hourly Data: System power generated (kW)
306.5,-1.90284,-1.90284,-1.90284
307.5,-1.90284,-1.90284,-1.90284
308.5,-1.90284,-1.90284,-1.90284
309.5,-1.90284,-1.90284,-1.90284
310.5,-1.90284,-1.90284,-1.90284
311.5,-1.90284,-1.90284,-1.90284
312.5,-1.90284,-1.90284,-1.90284
313.5,-1.90284,-1.90284,-1.90284
314.5,-1.90284,-1.90284,-1.90284
315.5,-1.90284,-1.90284,-1.90284
316.5,-1.90284,-1.90284,-1.90284
317.5,-1.90284,-1.90284,-1.90284
318.5,-1.90284,-1.90284,-1.90284
319.5,-1.90284,-1.90284,-1.90284
320.5,0,0,4638.22
321.5,0,0,9447.28
322.5,0,0,18988.9
323.5,0,0,19302.3
324.5,0,0,13473.1
325.5,0,0,9714.91
326.5,0,0,4284.89
327.5,0,0,2035.83
328.5,0,0,344.441
329.5,-1.90284,-1.90284,-1.90284
330.5,-1.90284,-1.90284,-1.90284
331.5,-1.90284,-1.90284,-1.90284
332.5,-1.90284,-1.90284,-1.90284
333.5,-1.90284,-1.90284,-1.90284
334.5,-1.90284,-1.90284,-1.90284
335.5,-1.90284,-1.90284,-1.90284
336.5,-1.90284,-1.90284,-1.90284
337.5,-1.90284,-1.90284,-1.90284
338.5,-1.90284,-1.90284,-1.90284
339.5,-1.90284,-1.90284,-1.90284
340.5,-1.90284,-1.90284,-1.90284
341.5,-1.90284,-1.90284,-1.90284
342.5,-1.90284,-1.90284,-1.90284
343.5,-1.90284,-1.90284,-1.90284
344.5,0,0,4372.45
345.5,0,0,11819.5
346.5,0,0,4362.6
347.5,0,0,10523
348.5,0,0,13811.1
349.5,0,0,5922.36
350.5,0,0,1235.87
351.5,0,0,775.34
352.5,0,0,1064.72
353.5,-1.90284,-1.90284,-1.90284
354.5,-1.90284,-1.90284,-1.90284
355.5,-1.90284,-1.90284,-1.90284
356.5,-1.90284,-1.90284,-1.90284
357.5,-1.90284,-1.90284,-1.90284
358.5,-1.90284,-1.90284,-1.90284
359.5,-1.90284,-1.90284,-1.90284
360.5,-1.90284,-1.90284,-1.90284
361.5,-1.90284,-1.90284,-1.90284
362.5,-1.90284,-1.90284,-1.90284
363.5,-1.90284,-1.90284,-1.90284
